ball_y,ball_x,vy,vx,paddle_agent_y,paddle_opponent_y,action
0.27335775,0.72445977,-0.5298584,-0.9701416,0.22333333,0.42666668,1
0.26629296,0.7147584,-0.5298584,-0.9701416,0.21333334,0.43666667,1
0.2592282,0.70505697,-0.5298584,-0.9701416,0.20333333,0.42666668,1
0.2521634,0.69535553,-0.5298584,-0.9701416,0.19333333,0.43666667,1
0.24509864,0.6856541,-0.5298584,-0.9701416,0.18333334,0.42666668,1
0.23803386,0.67595273,-0.5298584,-0.9701416,0.17333333,0.43666667,1
0.23096909,0.6662513,-0.5298584,-0.9701416,0.16333333,0.42666668,0
0.2239043,0.6565499,-0.5298584,-0.9701416,0.17333333,0.43666667,1
0.21683952,0.64684844,-0.5298584,-0.9701416,0.16333333,0.42666668,1
0.20977475,0.63714707,-0.5298584,-0.9701416,0.15333334,0.43666667,1
0.20270997,0.62744564,-0.5298584,-0.9701416,0.14333333,0.42666668,1
0.19564518,0.6177442,-0.5298584,-0.9701416,0.13333334,0.43666667,1
0.18858041,0.6080428,-0.5298584,-0.9701416,0.123333335,0.42666668,1
0.18151563,0.5983414,-0.5298584,-0.9701416,0.11333334,0.43666667,0
0.17445086,0.58864,-0.5298584,-0.9701416,0.123333335,0.42666668,1
0.16738607,0.57893854,-0.5298584,-0.9701416,0.11333334,0.43666667,1
0.1603213,0.5692371,-0.5298584,-0.9701416,0.10333333,0.42666668,1
0.15325652,0.5595357,-0.5298584,-0.9701416,0.093333334,0.43666667,1
0.14619173,0.5498343,-0.5298584,-0.9701416,0.083333336,0.42666668,1
0.13912696,0.5401329,-0.5298584,-0.9701416,0.07333333,0.43666667,1
0.13206218,0.53043145,-0.5298584,-0.9701416,0.06333333,0.42666668,0
0.1249974,0.52073,-0.5298584,-0.9701416,0.07333333,0.43666667,1
0.117932625,0.51102865,-0.5298584,-0.9701416,0.06333333,0.42666668,1
0.11086784,0.5013272,-0.5298584,-0.9701416,0.053333335,0.43666667,1
